vehicle_id,plate,journey_size,total_distance,total_moving,total_idle,counts,day
72880,AAA0006,20,125.117,26367,40314,109,2021-10-11 11:05:55.105787
164573,AAA0008,42,136.919,25617,270,17,2021-10-11 11:05:55.105787
164573,AAA0008,97,155.928,24306,478,6,2021-10-11 11:05:55.105787
72880,AAA0006,31,2732.649,215267,82430,276,2021-10-11 11:05:55.105787
164573,AAA0008,76,44.797,8598,120,3,2021-10-11 11:05:55.105787
164573,AAA0008,54,254.238,34186,0,15,2021-10-11 11:05:55.105787
164573,AAA0008,58,447.414,45297,120,16,2021-10-11 11:05:55.105787
164573,AAA0008,51,166.233,28909,362,14,2021-10-11 11:05:55.105787
164573,AAA0008,89,185.249,21504,364,6,2021-10-11 11:05:55.105787
164573,AAA0008,116,104.141,19960,536,4,2021-10-11 11:05:55.105787
150653,AAA0007,44,566.337,30258,0,11,2021-10-11 11:05:55.105787
164573,AAA0008,166,40.015,6366,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,139,45.531,6501,478,1,2021-10-11 11:05:55.105787
155905,AAA0009,79,27.674,8985,366,4,2021-10-11 11:05:55.105787
164573,AAA0008,147,84.378,11660,239,2,2021-10-11 11:05:55.105787
72880,AAA0006,25,207.56,41285,22770,77,2021-10-11 11:05:55.105787
72880,AAA0006,7,70.38,45279,59009,234,2021-10-11 11:05:55.105787
207756,AAA0010,191,1256.046,75780,1704,6,2021-10-11 11:05:55.105787
72880,AAA0006,8,80.081,29147,70985,243,2021-10-11 11:05:55.105787
150653,AAA0007,51,634.341,31201,0,13,2021-10-11 11:05:55.105787
155905,AAA0009,62,20.885,6915,717,4,2021-10-11 11:05:55.105787
164573,AAA0008,72,119.018,18505,359,6,2021-10-11 11:05:55.105787
164573,AAA0008,133,63.731,9903,120,2,2021-10-11 11:05:55.105787
164573,AAA0008,113,113.209,17942,120,4,2021-10-11 11:05:55.105787
164573,AAA0008,98,73.315,11128,480,3,2021-10-11 11:05:55.105787
164573,AAA0008,45,268.612,35548,761,19,2021-10-11 11:05:55.105787
150653,AAA0007,74,212.09799999999998,10923,0,3,2021-10-11 11:05:55.105787
72880,AAA0006,24,165.695,25141,17237,60,2021-10-11 11:05:55.105787
72880,AAA0006,13,221.56300000000002,70027,96037,276,2021-10-11 11:05:55.105787
72880,AAA0006,34,1039.239,92152,38511,101,2021-10-11 11:05:55.105787
155905,AAA0009,71,17.104,3758,358,2,2021-10-11 11:05:55.105787
72880,AAA0006,23,265.027,78025,37606,144,2021-10-11 11:05:55.105787
72880,AAA0006,32,841.445,75837,27795,92,2021-10-11 11:05:55.105787
164573,AAA0008,87,106.04599999999999,17750,239,5,2021-10-11 11:05:55.105787
164573,AAA0008,112,26.881,4944,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,126,64.267,11384,120,2,2021-10-11 11:05:55.105787
72880,AAA0006,9,20.85,8193,8320,40,2021-10-11 11:05:55.105787
155905,AAA0009,39,91.813,30451,4195,26,2021-10-11 11:05:55.105787
72880,AAA0006,21,187.911,32350,33825,135,2021-10-11 11:05:55.105787
72880,AAA0006,27,1287.656,109008,40268,134,2021-10-11 11:05:55.105787
72880,AAA0006,42,274.909,76328,24005,79,2021-10-11 11:05:55.105787
150653,AAA0007,69,195.972,10091,0,3,2021-10-11 11:05:55.105787
150653,AAA0007,37,585.288,32472,120,16,2021-10-11 11:05:55.105787
164573,AAA0008,207,92.307,16170,120,2,2021-10-11 11:05:55.105787
72880,AAA0006,33,2294.614,183587,69529,231,2021-10-11 11:05:55.105787
155905,AAA0009,107,7.134,2584,423,1,2021-10-11 11:05:55.105787
155905,AAA0009,77,17.057000000000002,4737,782,2,2021-10-11 11:05:55.105787
164573,AAA0008,312,87.599,13084,348,1,2021-10-11 11:05:55.105787
155905,AAA0009,80,12.042,4657,1078,2,2021-10-11 11:05:55.105787
155905,AAA0009,59,57.853,15242,957,8,2021-10-11 11:05:55.105787
150653,AAA0007,116,81.046,4805,0,1,2021-10-11 11:05:55.105787
72880,AAA0006,38,1879.452,204605,78529,238,2021-10-11 11:05:55.105787
150653,AAA0007,94,73.507,4656,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,167,13.796,6036,120,1,2021-10-11 11:05:55.105787
164573,AAA0008,79,95.756,15643,323,5,2021-10-11 11:05:55.105787
164573,AAA0008,99,106.77799999999999,14706,126,4,2021-10-11 11:05:55.105787
164573,AAA0008,65,144.918,18005,302,7,2021-10-11 11:05:55.105787
164573,AAA0008,85,192.22,23360,240,7,2021-10-11 11:05:55.105787
150653,AAA0007,53,215.953,10994,0,4,2021-10-11 11:05:55.105787
155905,AAA0009,56,148.904,25777,3053,15,2021-10-11 11:05:55.105787
72880,AAA0006,15,163.678,35828,29571,128,2021-10-11 11:05:55.105787
164573,AAA0008,67,128.125,16056,238,5,2021-10-11 11:05:55.105787
155905,AAA0009,126,10.338,3574,120,1,2021-10-11 11:05:55.105787
164573,AAA0008,125,28.279,5286,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,152,33.474,6926,360,1,2021-10-11 11:05:55.105787
155905,AAA0009,91,8.679,2772,189,1,2021-10-11 11:05:55.105787
164573,AAA0008,86,33.391999999999996,6836,0,2,2021-10-11 11:05:55.105787
150653,AAA0007,99,203.077,10769,0,2,2021-10-11 11:05:55.105787
155905,AAA0009,92,18.923000000000002,4203,358,2,2021-10-11 11:05:55.105787
164573,AAA0008,123,55.724000000000004,8496,0,2,2021-10-11 11:05:55.105787
