vehicle_id,plate,journey_size,total_distance,total_moving,total_idle,counts,day
72880,AAA0006,47,29.888,10112,2416,8,2021-10-11 11:05:55.105787
72880,AAA0006,44,6.99,1810,602,2,2021-10-11 11:05:55.105787
164573,AAA0008,135,34.611,5491,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,199,56.47,7876,243,1,2021-10-11 11:05:55.105787
164573,AAA0008,162,41.181,5031,304,1,2021-10-11 11:05:55.105787
150653,AAA0007,80,70.727,3519,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,75,20.456,6749,1382,3,2021-10-11 11:05:55.105787
164573,AAA0008,137,60.11,10678,240,2,2021-10-11 11:05:55.105787
150653,AAA0007,77,70.903,3817,0,1,2021-10-11 11:05:55.105787
72880,AAA0006,41,69.342,7530,1176,6,2021-10-11 11:05:55.105787
164573,AAA0008,134,35.967,5736,240,1,2021-10-11 11:05:55.105787
